ASV_1,ASV_2,correlation,pvalue
430c875622713c0d7662add2d8e7db60,916d15ab17794198ea4c5ad1e3fb6258,-0.7392,0.0
da47a34fd036b068ca0c5eaf185e2082,817555c3b5d93664c38e8fbec64eba2e,-0.7387,0.0
19463e5fe824700110e4a4ec8afe0512,499a635c6e7dcd5c8ef518302aa50011,-0.7386,0.0
9feda0d620fa50b57ce3f848e1b48975,25c54c57b4a4283237b33fdae82003c0,0.7385,0.0
499a635c6e7dcd5c8ef518302aa50011,9feda0d620fa50b57ce3f848e1b48975,0.7384,0.0
4bea53b2aad77f2569a0182f6b84255e,430c875622713c0d7662add2d8e7db60,0.7383,0.01
7281c911136ba2bdcafebb9c71729dea,f876e4d5cbaa6ac5f3c225bcaf146791,0.7376,0.0
179e72f0ecdfeb920df685432f3f2d1a,4c7b0d554a1103b7872deded4bccb4ea,0.7375,0.0
179e72f0ecdfeb920df685432f3f2d1a,ff6f97ce50ea01298f8e58b53b97d489,0.7369,0.0
0709277372b3816e3986842fb10c8e96,206069e5a5041e6c7f39a4141aefdc19,0.7369,0.0
da47a34fd036b068ca0c5eaf185e2082,472fdc0687378563f0c9da6da7638e1a,0.7365,0.0
916d15ab17794198ea4c5ad1e3fb6258,da47a34fd036b068ca0c5eaf185e2082,-0.7363,0.0
af9554a6cc07a34c1cb6004e3dbb865a,3e7c933c821c9f18e53e1dda439951cf,0.7361,0.0
47515cfa358287ae00ead27b78b2285b,916d15ab17794198ea4c5ad1e3fb6258,0.7361,0.0
3e524f0bf09623c8530930bb8b27045c,5837405da6036e7481240160de143774,0.7348,0.0
0f4c04cefd226f6854ad0fbc2a2de226,ff6f97ce50ea01298f8e58b53b97d489,0.7347,0.0
daac17ca54538cbc9aada8497262da96,5837405da6036e7481240160de143774,0.7344,0.0
179e72f0ecdfeb920df685432f3f2d1a,a43c475502b54cdee1385dcca3109bfe,0.734,0.0
3e524f0bf09623c8530930bb8b27045c,daac17ca54538cbc9aada8497262da96,0.7335,0.0
916d15ab17794198ea4c5ad1e3fb6258,765b69d9c4313cc8630769db523cc54c,-0.733,0.0
93fadef301b62aa732e42bf1142b3afa,37a9f9625f201b6e61c29ac09ec54683,0.7326,0.0
7281c911136ba2bdcafebb9c71729dea,af9554a6cc07a34c1cb6004e3dbb865a,0.7322,0.0
7281c911136ba2bdcafebb9c71729dea,be9dcf562f0ab066c0b252d527a42d19,-0.7319,0.01
35dbde30af820a2c3bcd85216229ad6a,945e47119242497c2e0bc5b3c6b6ba8e,-0.7317,0.0
5631fe818e588992529f6071afc9cda5,e144d237c973d831d708cac2c17df968,0.7316,0.0
430c875622713c0d7662add2d8e7db60,206069e5a5041e6c7f39a4141aefdc19,-0.7316,0.0
