"seq","5-10","A","B","C","Ca","Cb","D","E","Ea","F","Fa","Fb","G","Ga","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"7b28257e7072537ea4bb77e10e2333cc",0.00265249878648181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd363796f24ad824b1a025860c3acb40",0.0082227462380936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194253bf7725522741f6f5467928510d",0,0.0427933784018027,0.0163447121587224,0.008048228048458,0.0354286871140804,0,0.00121609378515271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2afb474b8a2ab64685b85624763d2186",0,0.0184174033628012,0.0100247567906831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8e411053229e1cc8814cc8c0d1989251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124064931073472,0,0,0,0,0,0,0,0,0,0
"8cc2a5a7c712bb71836060897190bb02",0.0013262493932409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77e27d0665f7fb72b2b325641b3b95ea",0.00901849587403814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f538d22fdb4f50b77253747c9f18ed18",0.0183022416267245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"839049ed2eabc492bfa76bca3e4f9075",0.0318299854377817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73fc872cf74b23112d674efd5f773616",0.0108752450245754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ce11bce162fe02427116266824ce6892",0.00212199902918544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52b604057878bf8752f3a1b04785376f",0.00238724890783362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5e1fc58ad48ef339ba354f5166b6a82f",0.0013262493932409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c533cace9e76e9de67e31e528bafa29",0.000795749635944542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"455800da158eb1acad1d1e9657b345d2",0.00901849587403814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3bb8c91a23a86c8601f5dead53c7b241",0.101855953400901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563814b59f2c0241d0cdec1b99b7f781",0.00848799611674178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3890b069eb54ede0917072f32a071c12",0.00424399805837089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e679135d9188dd08e7318e906ef29a80",0,0,0,0,0,0.0338868180277872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08beb3b3788f0fb047aa7b0b035a64a6",0.00716174672350087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7e87704cad17d9767ed0a558cf847a28",0.00318299854377817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f86e4e85aad39b874e531be8848dcb97",0.00557024745161179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d2be8e2152e95e0f171c4b66568e6f9",0.00291774866512999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d62995b61a683553373d223efcb7aeaf",0.00795749635944542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56c837ac82a080a7d67309e345c7069b",0,0,0,0,0,0,0,0.00319409609362048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fce18edf79b54a689065dd7c2dcc5def",0.00583549733025997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fbb4d97e016a3fae74e1e3b81805e48e",0,0.0195007800312012,0.0224467380313121,0.0617030817048446,0.0936329588014981,0,0.0423606001828194,0.0298115635404578,0.0241682107467977,0.0356814846875759,0.0506856644045842,0,0.0340152388269945,0.0542645556690501,0.0356613032066644,0,0.0253295536609289,0,0.00676717805855301,0,0,0,0,0,0.00911384354051491,0,0.000949547382414383,0,0
"aa64c95548409d1e294cd29e20473af0",0,0,0,0.0122639665500312,0,0,0.00891802109111988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206069e5a5041e6c7f39a4141aefdc19",0,0,0,0.161347809923848,0.313796943010426,0.0308061982070793,0.165186072483243,0.244576500882939,0.182604258975805,0.184741414802538,0.0844761073409737,0,0.00880394416698681,0,0.0199703297957321,0.0670856577925288,0.0210181402718346,0,0.020301534175659,0,0,0,0.00466473512079072,0.0205408279161934,0.0618577891366863,0.210314557425018,0.285813762106729,0.344837253637612,0.18660847012683
"93b2f6310a4ce172502298f06cf628cf",0,0.00677110417750043,0.0111144042679312,0.114974686406543,0,0,0.0263486986783087,0.0156662808401385,0,0.0101343861834535,0,0,0.00800358560635164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5040d210b906c738569bf1c3505ad558",0,0.195007800312012,0.626765228913142,0.0224200638492759,0.202449640651888,0,0.0389150011248868,0.0438047464267951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96081852258501d40fba8d2ddf0541ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138377660310519,0,0,0,0,0,0,0,0,0,0,0
"07aff16bdfb251a445d0583df066658e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030480370641307,0,0,0
"cf9d6956cc5e9b057171f8ba480e6fbf",0,0.00270844167100017,0.0117681927542801,0,0,0,0,0,0,0,0,0,0,0,0.0164041994750656,0.0247157686604053,0.0210181402718346,0,0.0349637533025239,0.0279303603016479,0,0.0218165142107876,0.012698445606597,0.00894130156351949,0.00601125850544601,0,0.00696334747103881,0,0
"0c3fbf81fa504f4fc2603e504474a1bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000791289485345319,0,0
"b9d27d1dc44fea66778479161f6ed7c6",0.0594159728171924,0,0,0,0,0.218724007270263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f94941df072a2ce7df898dbbc4971c45",0.0082227462380936,0,0,0,0,0.083176735159114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9711e5e56376fe411f8d9ca9e739c6f1",0,0,0,0.0473312459040268,0,0.0646930162348665,0.0897882578037752,0.060839925592771,0.0617632052418164,0.148215397933007,0.115450680032664,0.0305126118795769,0.040218017671917,0.0478804902962206,0.0499258244893301,0.0494315373208107,0.0371859404809382,0.0802590429801013,0.0332719587878856,0.0279303603016479,0.0309119010819165,0.00489758482282987,0.044833287549822,0.0594475725574539,0.0560404421959321,0.0457205559619605,0.0512755586503767,0.0588746530600802,0.0537685422399342
"36932f198f0d72739c13f82998a6364d",0,0,0,0,0,0,0.00405364595050904,0,0,0.00548945918270398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193911564691807,0,0,0,0
"1f9a774f305c7b4db08dfe4db385aa4a",0,0,0,0,0,0,0,0.00501929386140361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"896d6a6108564a7d73a7114e2266891a",0,0,0,0.00823985252580224,0.0177143435570402,0,0.00364828135545813,0.00243359702371084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e75112095b671ec01db52f4beeb04879",0.00318299854377817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d42056f27a6c002a2241048c320f9aa8",0.00716174672350087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
