seq,sample,rel_ab,Kingdom,Phylum,Class,Order,Family,Genus,Species,date,media,timepoint,notes
7f78afb7e1d45cd528fe9cd909c93fb5,Qa,8.76826722338205,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,315,
c55a8101fb6c187736f0af61f720cb92,5-10,0.0,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,DSMZ v1: Using DSMZ 120 without NaHCO3,0,"Innoculum, from 2023 MBfR"
c55a8101fb6c187736f0af61f720cb92,H,0.23641504926205,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v1: put in modified wolfe + EDTA ,140,"98% methane, modified wolfe + EDTA , best performance before adding KILLER media"
c55a8101fb6c187736f0af61f720cb92,Ha,0.52156752184945,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,147,
c55a8101fb6c187736f0af61f720cb92,I,0.294792890479321,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,149,"butyrate production in reactor, major failure in CH4 production (10%)"
c55a8101fb6c187736f0af61f720cb92,Ia,1.45621660529886,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,153,
c55a8101fb6c187736f0af61f720cb92,J,2.25463405554945,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,161,"recovery, 93% ch4, extracted for analysis on recovery"
c55a8101fb6c187736f0af61f720cb92,Ja,2.49154488193863,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,168,
c55a8101fb6c187736f0af61f720cb92,Jb,2.39008687216122,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,174,
c55a8101fb6c187736f0af61f720cb92,K,0.338337914992599,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,182,1 week before transitioning to biofilm-only sampling
c55a8101fb6c187736f0af61f720cb92,L,3.94577634296049,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,189,"first biofilm-only sample, first direct biofilm sample"
c55a8101fb6c187736f0af61f720cb92,M,7.43180066538293,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,210,extracted because there was good time spacing between this and other samples
c55a8101fb6c187736f0af61f720cb92,N,7.936572568683001,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,238,"fluffy biofilm, mostly located on underside of membranes"
c55a8101fb6c187736f0af61f720cb92,Na,6.37603343604137,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,262,
