seq,10AB,A34,B34,C3,D34,E34,F34,G12,G3,H34,I34,J12,J34,K12,L12,M12,N12,P12,Q
d16302bbd739ffc628c49803b25c8f6e,0.0079446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c7a1a940865cb8fc19e17d404be6951,0.084742396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f50c109f3a9cdf90470d389e4797c67,0.073619957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76822eb34ea3cf76c00fb31b39d43b12,0.076003337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84f0bed445af5694e5b98998ffde30a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000968658,0.001897476,0
6dfb10e6d92b2c7ec87175ad560bed2e,0.811673265,0.008924273,0.007403133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495cc889a2e82868482b1feb2f71fbd0,0.333408366,0,0.001741914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2389f5000634184ae381b8e579934c4b,0.00344266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bce4d231e12c8465556db9d2cf121551,0.00370748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ef9c96b68ed0d81bec10c4b79e562a8,0.00238338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a53b7a494838590a5600a018277e55ea,0.00609086,0,0,0,0,0,0,0.002198224,0,0.019951191,0.039836777,0.028444134,0.034817175,0.044255758,0.161312457,0.088349672,0.037971397,0.007115536,0
f78abd34d9f99dfc6481d847ff918abb,0,0,0,0,0,0,0,0,0,0,0.00107667,0,0,0,0,0,0,0,0
5881e5969b9c5cced797ab5e237049b4,0.0039723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689ea6538e35d0bf0beff8b8ef7ae765,0.00211856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8ec439cb9f26e97be2793df3c52b03d,0.173986733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbb8d866124b76dccef1a07447e2e183,0.029659839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c09305c29479546a081817c3df4019cc,0.00741496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0bbfb182e829dcd543eba20abe4bf13,0.00741496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c7c7b73a2ec4b36eb0c3adfcc84d9aa,0.00291302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8af31eef438d38bbb57e4b47d308116d,0,0,0.000653218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720ef8366f0bd5fb2cb193ce02e53799,0.00900388,0.006219948,0.005878959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88dc9b1bf64124875974e6e8ce1bb2e0,0.027541279,0.008112976,0.005225741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61637c95fcfd388d16465d5d8ae30f0a,0.014565099,0.00432692,0.003048349,0,0,0,0.004007128,0,0,0,0,0,0,0,0,0,0,0,0
6589433bc08b7cdc5ea1e4928683ed00,0.028335739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add6ee5276913213598665852c4b08fb,0.00609086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32d1077d28b29a3f6b93e1c0cbad6fda,0.046343498,0,0.001741914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07246a1fc2c2fed9e54374f5ee46c333,0.023833799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75ae184615957ea74819e0710296a493,0.00635568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4fdb441ce30cb8a04ddd4c7b24e39ae2,0.00476676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fc9b3b833ee5fc9ddee11259db3940d,0.00317784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87b489a37616c28af2c28eda4b45fb8b,0.00370748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1191cbfeb25ca6deb449da1e2baad3a,0.00344266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38296582075fc96045a4147fb746fe4b,0.00635568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001264984,0
97d46cb66b426e54414d29f5c60c740a,0.00423712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748512e38095cce946336f055623773b,0.00185374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147f672fdb531def69cb4b3f1c5029da,0.036809978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90fa6c0bf60713bfb45126d0e322b04b,0.00741496,0,0,0,0,0,0.001687212,0,0,0,0,0,0,0,0,0,0,0,0
