"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"cc53782126bff6f2648754f297c70cff",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f39790ad4b1a813000323022eb1e9567",0.00212244941274478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e0f5ac0f18cc28b90be53aa781a75e97",0.00159183705955858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b488bf12e36de9f37c9b3da1febf2c3e",0.00477551117867575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57e13b307e96897f55540c6759029343",0.00185714323615168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f3686ad1491f35d467e4d518b1a239a",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e9ad9694aa9baa8ef6805db44808b3ce",0.00902041000416531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d6f4c93d09d73073c55fef2decc5e58",0.00238775558933788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65f9a101f8ffe7049bd3d0baa83520c2",0.000795918529779292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00c193a1d13306dc0a3fa7b7b19327a9",0.00212244941274478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b898d4961772ab53a086c8154bac568",0.00159183705955858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8e3af97b4686b85e19d450d5c1c96fbe",0.00371428647230336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a2c442a314a7a38b0dd2f26401b5bbb",0,0,0,0,0,0,0,0,0,0,0,0.000387793050360744,0,0,0,0
"e561c5c5f92aa66e6b1befb81385d1fc",0.0734898109162879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281228d4a8faf2330f12bda44eeeb6af",0.0448367438442334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0cdf6b354c008cd74c18af9f484f8bf7",0.0387347017825922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f003e944f4c451188139f78a4dbead3",0.00132653088296549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"089e886fa6644f9380d46e458a8bf9d6",0.00238775558933788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432a02504adb954775f641117e6d7b14",0.00530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dd6cd878e1ac746a5df199e3ea0152a2",0.00344898029571026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24d1b9eb90c847a42a0dc2c748b53fd5",0.00291836794252407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a5f80c6cfc12861f45f935186dc8a472",0,0,0,0,0,0,0,0,0,0,0.000724818010277919,0,0,0,0,0
"5976a56adfe903f7348b5eb5689e3c55",0.0867551197459428,0.0146199351730679,0.0317169438962503,0.139582008471927,0.40419700451261,0.22898847443479,0.173756554655745,0.0926048419103056,0.0454085096437435,0.786616125630575,0.842721739949794,0.618142122275027,0.283718234235334,0.437924308440572,0.477487852147291,0.471310179034605
"cd26adf889179ccd2d1b553ce33b5276",0,0,0,0,0,0,0,0,0,0,0,0.000581689575541117,0,0,0,0
"6ccc148642fc55d9ec07d0d348c37148",0,0,0,0,0,0,0,0,0,0.00129548110281715,0,0,0,0,0,0
"a5723c72b7103b8c043b31cab7252af4",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43a52ec4605b37f3671b33e61ff6fedd",0.0482857241399437,0,0,0.0485034006273106,0.163339885385233,0.111956187623906,0.114803437897546,0,0.0227042548218718,0.431136111017549,0.431508322118788,0.323419404000861,0.134232282864029,0.227036680514743,0.224700165716372,0.189789333839438
"ec92f6331d8ecb50e3f0dee8fbf3bcb0",0.0387347017825922,0.113037059752745,0.725965604736397,0.160600148743762,0.107970432712273,0.0420188210477633,0.0775698904713147,0.0264585262600873,0.00690031273998063,0.00466373197014175,0.0171540262432441,0.0145422393885279,0.015253668507276,0.011399331239234,0.0252787686430919,0.0253052445119251
"07c98191a29a6be9185f213be81a429f",0.0875510382757221,0,0,0,0,0,0,0,0.00467440540450301,0.0152866770132424,0,0,0,0.00395810112473402,0,0
"ea156f972cd3802c3fac147e4200ba7a",0.173244933315293,0,0,0,0,0,0,0,0.00489699613805077,0.015027580792679,0,0,0,0.0102910629243084,0,0
"9d169a06854ffc97e3fa36d6dad78813",0.0153877582423996,0,0,0,0,0,0,0,0,0.0165821581160596,0,0,0,0.00759955415948931,0,0
