d42912a22b570ab99938b745999ae2cc	12	5	9	21	26	209	163	11	17	14	16	18	30
4bea53b2aad77f2569a0182f6b84255e	35	84	63	40	62	399	294	72	37	19	15	15	18
83adaf3a09d08c93f2abea6a4c815592	590	543	1019	589	1070	450	403	488	396	468	492	419	458
a402fc6f0fd057decbe746f48bf12862	42	16	0	16	0	14	49	63	81	71	77	146	159
0709277372b3816e3986842fb10c8e96	62	23	0	4	0	0	0	0	7	54	81	42	51
e6485d233ed2b8b9a2f3f50f0747b9d2	97	63	68	22	30	150	334	370	359	244	300	269	306
47515cfa358287ae00ead27b78b2285b	0	0	0	0	0	0	0	0	0	0	4	16	11
2b7dca9f823dab555a368d87f194804f	0	0	0	0	0	3	7	11	13	0	7	0	0
4a18801bf3179876e3e063abc1fa1b5c	0	0	0	0	0	0	0	15	4	0	8	0	0
b4eac52cfa36ce63f24be2fc530ad204	5	5	0	3	0	4	18	30	20	0	13	0	0
4f3989d95e7611bb6b5307454d75d3ce	13	4	0	5	6	2	8	19	18	26	14	11	13
5e2e0a4cfc3ab5f1a074ef61d2d6f68b	4	0	0	0	0	0	1	3	1	0	0	0	0
499a635c6e7dcd5c8ef518302aa50011	74	62	120	23	14	18	22	5	10	5	1	0	0
af9554a6cc07a34c1cb6004e3dbb865a	0	0	0	0	0	0	0	4	6	11	10	19	16
c55a8101fb6c187736f0af61f720cb92	94	91	467	722	789	128	1250	2300	2561	2014	925	841	1611
800e0527da5f9218e61c70f7d0ec8715	0	0	0	0	0	0	0	2	8	5	6	0	0
179e72f0ecdfeb920df685432f3f2d1a	13	16	21	13	14	46	25	1	0	0	0	0	0
3343d19c0bc1759a66023cbc86c92592	66	114	124	120	113	18	14	8	74	266	160	93	233
a061d8883eca2028db1d268500722130	62	119	103	117	79	12	11	10	71	253	144	84	241
430c875622713c0d7662add2d8e7db60	124	128	42	57	34	147	211	71	37	12	7	10	3
bb617d32673d5f60d6216a07ad7a42bc	0	0	0	0	0	400	6	0	9	0	4	0	0
5cb2b4186e2e95521540e2ccbafcb4c9	67	38	0	5	0	3	29	5	0	0	0	0	0
b3d8bf326297fb9b18ea4fef1ce8d4a6	710	509	595	199	156	0	162	154	418	218	298	228	287
dd07e924156039f8e953d5ea58ab5023	0	0	0	0	0	0	0	0	5	12	13	15	11
164212c0910ca9770a6bd13bcb2c5d05	3	3	22	0	0	2	4	0	4	4	1	0	0
f898c7a8c566d0beb46d5448dde2387c	0	0	0	0	4	2	12	0	0	0	0	0	0
49c2b5d0aaf2ac8b0ee6cae5b6c5a8f4	0	0	0	0	0	1	2	2	0	3	3	0	0
8a4c692c01077fa5a93913725097b3bc	0	1	0	1	0	2	0	3	29	23	21	37	0
d98dabbea4fe10de13ec5310782324e8	0	0	0	0	0	0	0	0	0	0	9	27	24
0f4c04cefd226f6854ad0fbc2a2de226	12	19	13	10	9	6	10	6	4	0	2	0	0
74316f0e658505498c0bd04393736a67	3	2	0	0	0	2	1	0	0	0	0	0	0
3679eb1918d142d7e468ea32c2f42595	40	29	24	17	15	35	24	19	37	104	20	8	6
36e38981bc99d5d7fdd5959ca41f6313	2	1	7	0	0	0	1	0	0	0	0	0	0
